INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('1', '1', '24', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('83', '38', '4', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('84', '38', '7', '4');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('85', '38', '19', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('86', '39', '6', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('87', '39', '49', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('88', '39', '26', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('89', '40', '13', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('90', '40', '32', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('91', '40', '38', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('92', '41', '34', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('93', '42', '50', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('94', '42', '8', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('95', '43', '43', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('96', '43', '29', '4');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('97', '43', '13', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('98', '44', '13', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('99', '45', '28', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('100', '45', '36', '4');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('101', '46', '15', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('102', '46', '19', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('103', '46', '40', '4');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('104', '47', '17', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('105', '47', '39', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('106', '47', '36', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('107', '48', '23', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('108', '48', '19', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('109', '49', '23', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('110', '49', '44', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('111', '49', '46', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('112', '50', '17', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('113', '51', '4', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('114', '51', '20', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('115', '52', '25', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('116', '53', '42', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('117', '53', '35', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('118', '53', '3', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('119', '54', '4', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('120', '55', '22', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('121', '56', '23', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('122', '56', '25', '4');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('123', '56', '47', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('124', '57', '16', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('125', '58', '12', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('126', '58', '11', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('127', '58', '44', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('128', '59', '18', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('129', '60', '7', '4');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('130', '61', '30', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('131', '61', '2', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('132', '62', '45', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('133', '62', '37', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('134', '63', '2', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('135', '64', '34', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('136', '65', '38', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('137', '66', '3', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('138', '66', '17', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('139', '66', '29', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('140', '67', '23', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('141', '68', '23', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('142', '69', '16', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('143', '69', '29', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('144', '69', '47', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('145', '70', '2', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('146', '70', '21', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('147', '71', '27', '4');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('148', '71', '8', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('149', '71', '6', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('150', '72', '24', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('151', '72', '18', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('152', '72', '12', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('153', '73', '31', '4');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('154', '73', '1', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('155', '73', '24', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('156', '74', '8', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('157', '75', '38', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('158', '76', '39', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('159', '77', '18', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('160', '78', '16', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('161', '78', '27', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('162', '78', '5', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('163', '79', '24', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('164', '79', '43', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('165', '80', '45', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('166', '80', '2', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('167', '80', '3', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('168', '81', '13', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('169', '81', '41', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('170', '81', '9', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('171', '82', '37', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('172', '82', '27', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('173', '82', '24', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('174', '83', '31', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('175', '83', '2', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('176', '83', '11', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('177', '84', '39', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('178', '85', '32', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('179', '85', '11', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('180', '86', '8', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('181', '86', '6', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('182', '86', '30', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('183', '87', '49', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('184', '87', '33', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('185', '88', '17', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('186', '88', '44', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('187', '88', '41', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('188', '89', '50', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('189', '90', '43', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('190', '90', '36', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('191', '91', '19', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('192', '91', '35', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('193', '91', '40', '4');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('194', '92', '15', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('195', '93', '4', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('196', '94', '8', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('197', '94', '45', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('198', '94', '22', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('199', '95', '10', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('200', '96', '11', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('201', '96', '32', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('202', '96', '18', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('203', '97', '21', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('204', '98', '5', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('205', '98', '2', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('206', '99', '4', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('207', '100', '1', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('208', '100', '21', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('209', '100', '46', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('210', '101', '17', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('211', '101', '10', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('212', '101', '43', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('213', '102', '19', '4');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('214', '103', '48', '4');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('215', '104', '11', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('216', '104', '6', '4');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('217', '104', '42', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('218', '105', '49', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('219', '106', '23', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('220', '107', '23', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('221', '108', '5', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('222', '108', '49', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('223', '109', '32', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('224', '109', '8', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('225', '110', '5', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('226', '111', '30', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('227', '111', '38', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('228', '112', '1', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('229', '112', '47', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('230', '112', '7', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('231', '113', '48', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('232', '113', '25', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('233', '113', '6', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('234', '114', '12', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('235', '115', '35', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('236', '115', '50', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('237', '116', '38', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('238', '117', '44', '4');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('239', '117', '45', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('240', '118', '40', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('241', '118', '22', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('242', '119', '46', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('243', '120', '49', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('244', '120', '5', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('245', '120', '23', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('246', '121', '10', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('247', '121', '34', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('248', '122', '49', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('249', '122', '48', '3');
